Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Bubulcus ibis,Cattle Egret,0.2854,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
15.0,18.0,Threskiornis melanocephalus,Black-headed Ibis,0.3946,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
33.0,36.0,Aplonis panayensis,Asian Glossy Starling,0.6433,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
39.0,42.0,Bubulcus ibis,Cattle Egret,0.6790,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
54.0,57.0,Aplonis panayensis,Asian Glossy Starling,0.2504,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
75.0,78.0,Ardea purpurea,Purple Heron,0.4384,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
75.0,78.0,Bubulcus ibis,Cattle Egret,0.2542,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
78.0,81.0,Bubulcus ibis,Cattle Egret,0.3252,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
81.0,84.0,Anastomus oscitans,Asian Openbill,0.2526,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
84.0,87.0,Mycteria leucocephala,Painted Stork,0.3056,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
87.0,90.0,Aplonis panayensis,Asian Glossy Starling,0.2847,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
93.0,96.0,Ardea purpurea,Purple Heron,0.6275,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
111.0,114.0,Pernis ptilorhynchus,Oriental Honey-buzzard,0.2892,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
120.0,123.0,Bubulcus ibis,Cattle Egret,0.3182,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
123.0,126.0,Aplonis panayensis,Asian Glossy Starling,0.2999,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
159.0,162.0,Bubulcus ibis,Cattle Egret,0.6257,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
165.0,168.0,Bubulcus ibis,Cattle Egret,0.5770,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
165.0,168.0,Ardea alba,Great Egret,0.2874,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
207.0,210.0,Bubulcus ibis,Cattle Egret,0.2547,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
216.0,219.0,Ardea purpurea,Purple Heron,0.3119,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
216.0,219.0,Bubulcus ibis,Cattle Egret,0.2841,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
219.0,222.0,Ardea purpurea,Purple Heron,0.2671,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
222.0,225.0,Bubulcus ibis,Cattle Egret,0.2902,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
228.0,231.0,Bubulcus ibis,Cattle Egret,0.3422,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
243.0,246.0,Ardea purpurea,Purple Heron,0.3253,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
249.0,252.0,Nycticorax nycticorax,Black-crowned Night-Heron,0.3323,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
270.0,273.0,Bubulcus ibis,Cattle Egret,0.3139,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
279.0,282.0,Threskiornis melanocephalus,Black-headed Ibis,0.3862,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
279.0,282.0,Bubulcus ibis,Cattle Egret,0.3755,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
285.0,288.0,Bubulcus ibis,Cattle Egret,0.7705,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
291.0,294.0,Bubulcus ibis,Cattle Egret,0.6017,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
297.0,300.0,Bubulcus ibis,Cattle Egret,0.6095,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
300.0,303.0,Bubulcus ibis,Cattle Egret,0.4497,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
303.0,306.0,Bubulcus ibis,Cattle Egret,0.7082,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
321.0,324.0,Bubulcus ibis,Cattle Egret,0.4861,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
324.0,327.0,Bubulcus ibis,Cattle Egret,0.3947,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
324.0,327.0,Threskiornis melanocephalus,Black-headed Ibis,0.2524,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
327.0,330.0,Bubulcus ibis,Cattle Egret,0.3732,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
330.0,333.0,Bubulcus ibis,Cattle Egret,0.9034,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
339.0,342.0,Bubulcus ibis,Cattle Egret,0.3122,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
348.0,351.0,Mycteria leucocephala,Painted Stork,0.4848,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
351.0,354.0,Mycteria leucocephala,Painted Stork,0.6204,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
360.0,363.0,Threskiornis melanocephalus,Black-headed Ibis,0.5718,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
363.0,366.0,Bubulcus ibis,Cattle Egret,0.8702,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
384.0,387.0,Threskiornis melanocephalus,Black-headed Ibis,0.6474,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
384.0,387.0,Nycticorax nycticorax,Black-crowned Night-Heron,0.3217,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
387.0,390.0,Bubulcus ibis,Cattle Egret,0.7444,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
390.0,393.0,Bubulcus ibis,Cattle Egret,0.6037,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
390.0,393.0,Ardea intermedia,Intermediate Egret,0.5708,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
435.0,438.0,Bubulcus ibis,Cattle Egret,0.3088,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
441.0,444.0,Bubulcus ibis,Cattle Egret,0.7727,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
444.0,447.0,Ardea purpurea,Purple Heron,0.4634,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
453.0,456.0,Pelargopsis capensis,Stork-billed Kingfisher,0.6313,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
456.0,459.0,Pelargopsis capensis,Stork-billed Kingfisher,0.6515,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
462.0,465.0,Bubulcus ibis,Cattle Egret,0.4361,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
462.0,465.0,Threskiornis melanocephalus,Black-headed Ibis,0.3869,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
465.0,468.0,Bubulcus ibis,Cattle Egret,0.3634,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
465.0,468.0,Pelargopsis capensis,Stork-billed Kingfisher,0.3562,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
468.0,471.0,Bubulcus ibis,Cattle Egret,0.5834,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
468.0,471.0,Threskiornis melanocephalus,Black-headed Ibis,0.2590,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
480.0,483.0,Bubulcus ibis,Cattle Egret,0.3467,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
483.0,486.0,Bubulcus ibis,Cattle Egret,0.2871,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
486.0,489.0,Bubulcus ibis,Cattle Egret,0.3851,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
492.0,495.0,Bubulcus ibis,Cattle Egret,0.3177,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
498.0,501.0,Bubulcus ibis,Cattle Egret,0.3794,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
537.0,540.0,Threskiornis melanocephalus,Black-headed Ibis,0.3369,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
540.0,543.0,Threskiornis melanocephalus,Black-headed Ibis,0.4130,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
543.0,546.0,Bubulcus ibis,Cattle Egret,0.7290,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
546.0,549.0,Bubulcus ibis,Cattle Egret,0.5584,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
546.0,549.0,Threskiornis melanocephalus,Black-headed Ibis,0.3093,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
546.0,549.0,Ardea purpurea,Purple Heron,0.2951,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
558.0,561.0,Bubulcus ibis,Cattle Egret,0.8060,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
561.0,564.0,Bubulcus ibis,Cattle Egret,0.6564,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
573.0,576.0,Threskiornis melanocephalus,Black-headed Ibis,0.4083,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
576.0,579.0,Bubulcus ibis,Cattle Egret,0.2885,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
588.0,591.0,Ardea purpurea,Purple Heron,0.4585,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
612.0,615.0,Bubulcus ibis,Cattle Egret,0.2810,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
648.0,651.0,Mycteria leucocephala,Painted Stork,0.4990,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
657.0,660.0,Ardea purpurea,Purple Heron,0.2782,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
672.0,675.0,Mycteria leucocephala,Painted Stork,0.6264,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
723.0,726.0,Cyornis rubeculoides,Blue-throated Flycatcher,0.2556,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
771.0,774.0,Pelargopsis capensis,Stork-billed Kingfisher,0.3788,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
783.0,786.0,Bubulcus ibis,Cattle Egret,0.3016,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
840.0,843.0,Threskiornis melanocephalus,Black-headed Ibis,0.7251,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
849.0,852.0,Mycteria leucocephala,Painted Stork,0.5741,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
852.0,855.0,Mycteria leucocephala,Painted Stork,0.2528,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
858.0,861.0,Threskiornis melanocephalus,Black-headed Ibis,0.4931,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
858.0,861.0,Bubulcus ibis,Cattle Egret,0.3557,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
867.0,870.0,Bubulcus ibis,Cattle Egret,0.2848,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
870.0,873.0,Bubulcus ibis,Cattle Egret,0.3922,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
876.0,879.0,Threskiornis melanocephalus,Black-headed Ibis,0.6010,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
879.0,882.0,Pelargopsis capensis,Stork-billed Kingfisher,0.6629,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
885.0,888.0,Nycticorax nycticorax,Black-crowned Night-Heron,0.2828,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
897.0,900.0,Pelargopsis capensis,Stork-billed Kingfisher,0.3372,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
906.0,909.0,Threskiornis melanocephalus,Black-headed Ibis,0.4338,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
906.0,909.0,Bubulcus ibis,Cattle Egret,0.4086,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
909.0,912.0,Pelargopsis capensis,Stork-billed Kingfisher,0.4225,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
918.0,921.0,Pelargopsis capensis,Stork-billed Kingfisher,0.8118,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
930.0,933.0,Dicrurus macrocercus,Black Drongo,0.2847,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
942.0,945.0,Threskiornis melanocephalus,Black-headed Ibis,0.6337,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
993.0,996.0,Bubulcus ibis,Cattle Egret,0.5114,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1023.0,1026.0,Pernis ptilorhynchus,Oriental Honey-buzzard,0.3415,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1101.0,1104.0,Bubulcus ibis,Cattle Egret,0.6800,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1101.0,1104.0,Ardea purpurea,Purple Heron,0.3179,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1107.0,1110.0,Threskiornis melanocephalus,Black-headed Ibis,0.3722,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1116.0,1119.0,Nycticorax nycticorax,Black-crowned Night-Heron,0.6887,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1125.0,1128.0,Pelargopsis capensis,Stork-billed Kingfisher,0.4539,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1134.0,1137.0,Copsychus saularis,Oriental Magpie-Robin,0.3259,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1152.0,1155.0,Bubulcus ibis,Cattle Egret,0.3222,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1158.0,1161.0,Nycticorax nycticorax,Black-crowned Night-Heron,0.6125,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1179.0,1182.0,Bubulcus ibis,Cattle Egret,0.4161,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1197.0,1200.0,Threskiornis melanocephalus,Black-headed Ibis,0.2954,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1203.0,1206.0,Bubulcus ibis,Cattle Egret,0.3614,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1206.0,1209.0,Bubulcus ibis,Cattle Egret,0.2742,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1215.0,1218.0,Pelargopsis capensis,Stork-billed Kingfisher,0.3165,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1251.0,1254.0,Threskiornis melanocephalus,Black-headed Ibis,0.5934,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1272.0,1275.0,Ardea purpurea,Purple Heron,0.8718,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1275.0,1278.0,Pernis ptilorhynchus,Oriental Honey-buzzard,0.3026,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1320.0,1323.0,Nycticorax nycticorax,Black-crowned Night-Heron,0.6268,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1320.0,1323.0,Threskiornis melanocephalus,Black-headed Ibis,0.2553,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1329.0,1332.0,Bubulcus ibis,Cattle Egret,0.3765,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1332.0,1335.0,Threskiornis melanocephalus,Black-headed Ibis,0.5380,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1332.0,1335.0,Nycticorax nycticorax,Black-crowned Night-Heron,0.3015,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1338.0,1341.0,Threskiornis melanocephalus,Black-headed Ibis,0.3967,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1344.0,1347.0,Threskiornis melanocephalus,Black-headed Ibis,0.3094,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1353.0,1356.0,Pernis ptilorhynchus,Oriental Honey-buzzard,0.2635,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1377.0,1380.0,Threskiornis melanocephalus,Black-headed Ibis,0.4940,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1377.0,1380.0,Bubulcus ibis,Cattle Egret,0.3546,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1416.0,1419.0,Bubulcus ibis,Cattle Egret,0.6569,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1416.0,1419.0,Threskiornis melanocephalus,Black-headed Ibis,0.3494,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1419.0,1422.0,Bubulcus ibis,Cattle Egret,0.3007,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1419.0,1422.0,Threskiornis melanocephalus,Black-headed Ibis,0.2830,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1425.0,1428.0,Bubulcus ibis,Cattle Egret,0.2767,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1428.0,1431.0,Threskiornis melanocephalus,Black-headed Ibis,0.3337,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1431.0,1434.0,Threskiornis melanocephalus,Black-headed Ibis,0.6290,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1431.0,1434.0,Bubulcus ibis,Cattle Egret,0.2831,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1443.0,1446.0,Bubulcus ibis,Cattle Egret,0.3671,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1446.0,1449.0,Bubulcus ibis,Cattle Egret,0.4106,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1449.0,1452.0,Nycticorax nycticorax,Black-crowned Night-Heron,0.3067,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1455.0,1458.0,Threskiornis melanocephalus,Black-headed Ibis,0.4653,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1461.0,1464.0,Threskiornis melanocephalus,Black-headed Ibis,0.3917,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1467.0,1470.0,Bubulcus ibis,Cattle Egret,0.3102,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1476.0,1479.0,Bubulcus ibis,Cattle Egret,0.3492,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1476.0,1479.0,Ardea purpurea,Purple Heron,0.3491,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1479.0,1482.0,Threskiornis melanocephalus,Black-headed Ibis,0.4836,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1488.0,1491.0,Bubulcus ibis,Cattle Egret,0.2628,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1518.0,1521.0,Bubulcus ibis,Cattle Egret,0.7148,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1524.0,1527.0,Threskiornis melanocephalus,Black-headed Ibis,0.5850,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1530.0,1533.0,Corvus splendens,House Crow,0.4377,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1533.0,1536.0,Threskiornis melanocephalus,Black-headed Ibis,0.7788,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1533.0,1536.0,Bubulcus ibis,Cattle Egret,0.3014,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1536.0,1539.0,Corvus splendens,House Crow,0.5707,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1539.0,1542.0,Threskiornis melanocephalus,Black-headed Ibis,0.2906,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1542.0,1545.0,Threskiornis melanocephalus,Black-headed Ibis,0.4922,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1545.0,1548.0,Threskiornis melanocephalus,Black-headed Ibis,0.2695,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1548.0,1551.0,Bubulcus ibis,Cattle Egret,0.3281,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1548.0,1551.0,Nycticorax nycticorax,Black-crowned Night-Heron,0.2545,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1551.0,1554.0,Corvus splendens,House Crow,0.4634,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1551.0,1554.0,Bubulcus ibis,Cattle Egret,0.2796,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1554.0,1557.0,Threskiornis melanocephalus,Black-headed Ibis,0.3885,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1557.0,1560.0,Corvus splendens,House Crow,0.3763,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1557.0,1560.0,Bubulcus ibis,Cattle Egret,0.2701,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1560.0,1563.0,Bubulcus ibis,Cattle Egret,0.4168,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1560.0,1563.0,Ardea purpurea,Purple Heron,0.2957,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1563.0,1566.0,Corvus splendens,House Crow,0.4575,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1566.0,1569.0,Corvus splendens,House Crow,0.6718,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1572.0,1575.0,Bubulcus ibis,Cattle Egret,0.6733,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1572.0,1575.0,Threskiornis melanocephalus,Black-headed Ibis,0.2999,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1575.0,1578.0,Bubulcus ibis,Cattle Egret,0.5359,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1575.0,1578.0,Ardea purpurea,Purple Heron,0.4022,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1578.0,1581.0,Threskiornis melanocephalus,Black-headed Ibis,0.5629,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1578.0,1581.0,Bubulcus ibis,Cattle Egret,0.3777,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1584.0,1587.0,Ardea purpurea,Purple Heron,0.7577,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1584.0,1587.0,Ardea cinerea,Gray Heron,0.3141,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1590.0,1593.0,Bubulcus ibis,Cattle Egret,0.3086,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1596.0,1599.0,Dicrurus macrocercus,Black Drongo,0.2793,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1611.0,1614.0,Threskiornis melanocephalus,Black-headed Ibis,0.2896,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1620.0,1623.0,Bubulcus ibis,Cattle Egret,0.4852,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1623.0,1626.0,Threskiornis melanocephalus,Black-headed Ibis,0.5942,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
1650.0,1653.0,Threskiornis melanocephalus,Black-headed Ibis,0.2784,C:\Users\User\Downloads\Telegram Desktop\15 Aug 2026.wav
